143, 2022-04-01, Monthly Stand Fees, 1918, 175.00, 26.25, 201.25
144, 2022-04-01, Monthly Stand Fees, 1915, 175.00, 26.25, 201.25
145, 2022-04-01, Daily Rental Fees, 1910, 60.00, 9.0, 69.00
146, 2022-04-01, Daily Rental Fees, 1912, 60.00, 9.0, 69.00
147, 2022-04-01, Monthly Stand Fees, 1905, 175.00, 26.25, 201.25
148, 2022-04-01, Monthly Stand Fees, 1908, 175.00, 26.25, 201.25
149, 2022-04-01, Monthly Stand Fees, 1902, 175.00, 26.25, 201.25
150, 2022-04-01, Monthly Stand Fees, 1904, 175.00, 26.25, 201.25
151, 2022-04-01, Monthly Stand Fees, 1916, 175.00, 26.25, 201.25
152, 2022-04-01, Monthly Stand Fees, 1913, 175.00, 26.25, 201.25
153, 2022-04-01, Monthly Stand Fees, 1901, 175.00, 26.25, 201.25
154, 2022-04-03, Weekly Rental Fees, 1914, 300.00, 45.0, 345.00
155, 2022-04-03, Weekly Rental Fees, 1920, 300.00, 45.0, 345.00
156, 2022-04-03, Weekly Rental Fees, 1921, 300.00, 45.0, 345.00
157, 2022-04-04, Weekly Rental Fees, 1906, 300.00, 45.0, 345.00
158, 2022-04-04, Daily Rental Fees, 1909, 60.00, 9.0, 69.00
159, 2022-04-05, Daily Rental Fees, 1907, 60.00, 9.0, 69.00
160, 2022-04-02, Weekly Rental Fees, 1911, 300.00, 45.0, 345.00
161, 2022-04-05, Weekly Rental Fees, 1903, 300.00, 45.0, 345.00
162, 2022-04-05, Daily Rental Fees, 1917, 60.00, 9.0, 69.00
172, 2024-04-01, Monthly Stand Fees, 1923, 175.0, 26.25, 301201.25
173, 2024-04-01, Monthly Stand Fees, 1925, 175.0, 26.25, 301201.25
174, 2024-04-01, Monthly Stand Fees, 1927, 175.0, 26.25, 301201.25
