143, 2022-03-01, Monthly Stand Fees, 1923, 175.0, 26.25, 201.25
144, 2022-03-01, Monthly Stand Fees, 1925, 175.0, 26.25, 201.25
145, 2022-03-01, Monthly Stand Fees, 1927, 175.0, 26.25, 201.25
146, 2022-04-01, Monthly Stand Fees, 1918, 175.00, 26.25, 201.25
147, 2022-04-01, Monthly Stand Fees, 1915, 175.00, 26.25, 201.25
148, 2022-04-01, Daily Rental Fees, 1910, 60.00, 9.0, 69.00
149, 2022-04-01, Daily Rental Fees, 1912, 60.00, 9.0, 69.00
150, 2022-04-01, Monthly Stand Fees, 1923, 175.0, 26.25, 402.5
151, 2022-04-01, Monthly Stand Fees, 1925, 175.0, 26.25, 402.5
152, 2022-04-01, Monthly Stand Fees, 1927, 175.0, 26.25, 402.5
153, 2022-04-01, Monthly Stand Fees, 1905, 175.00, 26.25, 201.25
154, 2022-04-01, Monthly Stand Fees, 1908, 175.00, 26.25, 201.25
155, 2022-04-01, Monthly Stand Fees, 1902, 175.00, 26.25, 201.25
156, 2022-04-01, Monthly Stand Fees, 1904, 175.00, 26.25, 201.25
157, 2022-04-01, Monthly Stand Fees, 1916, 175.00, 26.25, 201.25
158, 2022-04-01, Monthly Stand Fees, 1913, 175.00, 26.25, 201.25
159, 2022-04-01, Monthly Stand Fees, 1901, 175.00, 26.25, 201.25
160, 2022-04-03, Weekly Rental Fees, 1914, 300.00, 45.0, 345.00
161, 2022-04-03, Weekly Rental Fees, 1920, 300.00, 45.0, 345.00
162, 2022-04-03, Weekly Rental Fees, 1921, 300.00, 45.0, 345.00
163, 2022-04-04, Weekly Rental Fees, 1906, 300.00, 45.0, 345.00
164, 2022-04-04, Daily Rental Fees, 1909, 60.00, 9.0, 69.00
165, 2022-04-05, Daily Rental Fees, 1907, 60.00, 9.0, 69.00
166, 2022-04-06, Weekly Rental Fees, 1911, 300.00, 45.0, 345.00
167, 2022-04-21, Daily Rental Fees, 1922, 60.00, 9.0, 69.00
168, 2024-05-01, Monthly Stand Fees, 1923, 175.0, 26.25, 402.5
169, 2024-05-01, Monthly Stand Fees, 1925, 175.0, 26.25, 402.5
170, 2024-05-01, Monthly Stand Fees, 1927, 175.0, 26.25, 402.5
171, 2024-05-05, Weekly Rental Fees, 1903, 300.00, 45.0, 345.00
172, 2024-05-05, Daily Rental Fees, 1917, 60.00, 9.0, 69.00
173, 2024-06-01, Monthly Stand Fees, 1923, 175.0, 26.25, 402.5
174, 2024-06-01, Monthly Stand Fees, 1925, 175.0, 26.25, 402.5
175, 2024-06-01, Monthly Stand Fees, 1927, 175.0, 26.25, 402.5
176, 2024-06-01, Monthly Stand Fees, 1923, 175.0, 26.25, 201.25
177, 2024-06-01, Monthly Stand Fees, 1925, 175.0, 26.25, 201.25
178, 2024-06-01, Monthly Stand Fees, 1927, 175.0, 26.25, 201.25
179, 2024-06-01, Monthly Stand Fees, 1929, 175.0, 26.25, 201.25
180, 2024-06-01, Monthly Stand Fees, 1930, 175.0, 26.25, 201.25
181, 2024-06-01, Monthly Stand Fees, 1931, 175.0, 26.25, 201.25
182, 2024-06-07, Daily Rental Fees, 1922, 60.00, 9.0, 69.00
183, 2024-06-08, Daily Rental Fees, 1924, 60.00, 9.0, 69.00
